sample	platform	fq1	fq2
TP1	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP1_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP1_2.fastq.gz
TP2	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP2_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP2_2.fastq.gz
TP3	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP3_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP3_2.fastq.gz
TP4	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP4_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP4_2.fastq.gz
TP5	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP5_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP5_2.fastq.gz
TP6	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP6_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP6_2.fastq.gz
TP7	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP7_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP7_2.fastq.gz
TP8	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP8_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP8_2.fastq.gz
TP9	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP9_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP9_2.fastq.gz
TP10	ILLUMINA	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP10_1.fastq.gz	/mnt/c/Users/marce/OneDrive/Desktop/TOSCA/data/TP10_2.fastq.gz
